IlmnID	CHR	MAPINFO	Strand	UCSC_RefGene_Name	UCSC_RefGene_Group
cg00240178	6	74232108	R	EEF1A1	TSS1500
cg01536980	6	74231252	R	EEF1A1	TSS1500
cg01653354	6	74230425	F	EEF1A1	5'UTR
cg02213340	6	74230767	R	EEF1A1	TSS200
cg04027446	6	74230918	F	EEF1A1	TSS200
cg04100647	6	74229933	R	EEF1A1	5'UTR
cg04605607	6	74229257	R	EEF1A1	Body
cg07219710	6	74230925	F	EEF1A1	TSS200
cg07402724	6	74230764	R	EEF1A1	TSS200
cg07740989	6	74230681	R	EEF1A1	5'UTR
cg08439970	6	74230786	R	EEF1A1	TSS200
cg09614810	6	74227212	R	EEF1A1	3'UTR
cg16498533	6	74230343	F	EEF1A1	5'UTR
cg23873872	6	74230008	R	EEF1A1	5'UTR
cg23883514	6	74230158	R	EEF1A1	5'UTR
cg26932600	6	74230734	F	EEF1A1;EEF1A1	1stExon;5'UTR
cg00169164	12	6643639	F	GAPDH	TSS200
cg00241355	12	6643629	R	GAPDH	TSS200
cg00252813	12	6642229	F	GAPDH	TSS1500
cg02519286	12	6642354	R	GAPDH	TSS1500
cg03400107	12	6643557	F	GAPDH	TSS200
cg06362313	12	6645287	R	GAPDH	Body
cg09193981	12	6644606	F	GAPDH	Body
cg09644986	12	6644356	R	GAPDH	Body
cg11508669	12	6643545	F	GAPDH	TSS200
cg15350627	12	6642201	R	GAPDH	TSS1500
cg15869694	12	6643747	R	GAPDH	5'UTR
cg18689930	12	6647211	F	GAPDH	Body
cg20917484	12	6644066	R	GAPDH	Body
cg21225563	12	6645571	F	GAPDH	Body
cg26249857	12	6643607	R	GAPDH	TSS200
cg26826729	12	6646450	R	GAPDH	Body
